[NN] | transplantation | transplant | 0-0 | 0.6666666666666666 | OtherRelated
[VBG] | establishing | l | 0-0 |0.0833333333333333| Independent
[UH] | yourselves | y | 0-0 |0.1| Independent
[VBD] | stipulated | l | 0-0 |0.1| Independent
[VBN] | delivered | l | 0-0 |0.1111111111111111| Independent
[VBG] | including | l | 0-0 |0.1111111111111111| Independent
[VBG] | following | l | 0-0 |0.1111111111111111| Independent
[VBN] | involved | l | 0-0 |0.125| Independent
[VBZ] | services | s | 0-0 |0.125| Independent
[VBZ] | includes | l | 0-0 |0.125| Independent
[VBD] | included | l | 0-0 |0.125| Independent
[VBN] | included | l | 0-0 |0.125| Independent
[VBZ] | recommendations | is | 0-0 |0.1333333333333333| Independent
[JJ] | high-definition | hd | 0-0 |0.1333333333333333| OtherRelated
[VBG] | leaving | l | 0-0 |0.1428571428571428| Independent
[UH] | dollars | $ | 0-0 |0.1428571428571428| Independent
[VBN] | related | l | 0-0 |0.1428571428571428| Independent
[VBD] | related | l | 0-0 |0.1428571428571428| Independent
[VBG] | looking | l | 0-0 |0.1428571428571428| Independent
[VBG] | helping | l | 0-0 |0.1428571428571428| Independent
[VBZ] | results | l | 0-0 |0.1428571428571428| Independent
[NN] | identification | id | 0-0 |0.1428571428571428| ReverseEntailment
[NN] | seventy-seven | 77 | 0-0 |0.1538461538461538| OtherRelated
[NN] | seventy-eight | 78 | 0-0 |0.1538461538461538| Equivalence
[JJ] | seventy-three | 73 | 0-0 |0.1538461538461538| OtherRelated
[CD] | seventy-eight | 78 | 0-0 |0.1538461538461538| Equivalence
[JJ] | seventy-eight | 78 | 0-0 |0.1538461538461538| Equivalence
[JJ] | seventy-seven | 77 | 0-0 |0.1538461538461538| OtherRelated
[NN] | seventy-three | 73 | 0-0 |0.1538461538461538| OtherRelated
[NN] | seventy-four | 74 | 0-0 |0.1666666666666666| Equivalence
[NN] | ninety-three | 93 | 0-0 |0.1666666666666666| OtherRelated
[NNS] | liters | l | 0-0 |0.1666666666666666| Independent
[JJ] | seventy-five | 75 | 0-0 |0.1666666666666666| OtherRelated
[NN] | headquarters | hq | 0-0 |0.1666666666666666| Equivalence
[CD] | eighty-eight | 88 | 0-0 |0.1666666666666666| OtherRelated
[CD] | twenty-seven | 27 | 0-0 |0.1666666666666666| Equivalence
[NNS] | meters | m | 0-0 |0.1666666666666666| ForwardEntailment
[CD] | seventy-five | 75 | 0-0 |0.1666666666666666| OtherRelated
[JJ] | ninety-three | 93 | 0-0 |0.1666666666666666| OtherRelated
[NN] | eighty-seven | 87 | 0-0 |0.1666666666666666| Equivalence
[JJ] | thirty-seven | 37 | 0-0 |0.1666666666666666| OtherRelated
[NN] | thirty-three | 33 | 0-0 |0.1666666666666666| Equivalence
[VBZ] | participates | is | 0-0 |0.1666666666666666| Independent
[NNS] | meters | m | 0-0 |0.1666666666666666| ReverseEntailment
[NN] | ninety-seven | 97 | 0-0 |0.1666666666666666| OtherRelated
[JJ] | eighty-eight | 88 | 0-0 |0.1666666666666666| OtherRelated
[JJ] | seventy-four | 74 | 0-0 |0.1666666666666666| Equivalence
[NN] | twenty-seven | 27 | 0-0 |0.1666666666666666| Equivalence
[VBZ] | leaves | l | 0-0 |0.1666666666666666| Independent
[CD] | eighty-three | 83 | 0-0 |0.1666666666666666| OtherRelated
[CD] | twenty-eight | 28 | 0-0 |0.1666666666666666| Equivalence
[JJ] | eighty-seven | 87 | 0-0 |0.1666666666666666| Equivalence
[CD] | thirty-seven | 37 | 0-0 |0.1666666666666666| OtherRelated
[JJ] | twenty-eight | 28 | 0-0 |0.1666666666666666| Equivalence
[NN] | ninety-eight | 98 | 0-0 |0.1666666666666666| OtherRelated
[NN] | thirty-eight | 38 | 0-0 |0.1666666666666666| OtherRelated
[JJ] | twenty-seven | 27 | 0-0 |0.1666666666666666| Equivalence
[CD] | thirty-eight | 38 | 0-0 |0.1666666666666666| OtherRelated
[NN] | seventy-five | 75 | 0-0 |0.1666666666666666| OtherRelated
[JJ] | thirty-three | 33 | 0-0 |0.1666666666666666| Equivalence
[CD] | seventy-nine | 79 | 0-0 |0.1666666666666666| Equivalence
